index,caption,rank,caption_length
0,"Axial computed tomography scan of the pelvis showing a diffuse infiltration of the bladder wall, catheter in situ (arrow).",22,19
1,Postoperative anteroposterior radiograph of the pelvis.,7,6
2,"Angiography of the internal carotid artery, late arterial phase. (A) – venous drainage of the AVM, (B) – main arterial supplying vessel, arrow – AVM nidus.",4,26
3,Case 4: (A) pretreatment radiograph; (B) Root-canal filled showing one canal with a lot of foraminas around the apical area.,2,20
4,Preintervention MRCP revealing a nine-millimeter stone in the cystic duct (marked with arrow).,32,13
5,A postoperative radiograph shows reduction with Rockwood pin application.,2,9
6,MRI showing complete occlusion of proximal 4 cm of left subclavian artery with retrograde filling via the left vertebral.,3,19
7,Barium meal follow through X-ray showed dilatation of the second part of duodenum with compression of the third part.,75,19
8,"Graft host junction (GH Jn) synechia on UBM (copyright owner Lippincott, Williams and Wilkins, 2008)",5,15
9,Cardiac catheterization showed arteriovenous malformations (arrows) on the left lung in the patient with Hereditary hemorrhagic telangiectasia.,1,17
10,Chest radiograph obtained after endoscopic submucosal dissection showing left pleural fluid with subsegmental collapse of the left lower lobe.,38,19
11,Computerized tomography image 6 month after surgery (right after the secondary surgery in our department for titanium mesh implantation): bony defect in the inferior orbital wall was repaired by titanium mesh anatomically.,5,32
12,Ultrasound of anterior leg at rest is normal without any mass.,5,11
13,"Axial T2W image revealing cholecystoduodenal fistula (marked with arrow). The gallbladder is collapsed, thickened, and adherent to the second part of duodenum",2,22
14,Contrast-enhanced computerized tomography abdomen axial scan showing collection of fluid around pancreas along with inflammation (green arrows),9,17
15,A normal size uterine cavity with both fallopian tubes demonstrated and there was free spillage of the contrast material. Both the cervical canal and the uterine cavity are normal in outline,125,31
16,CT image (axial slice) showing gas within the scrotum and penile shaft.,60,12
17,The follow-up CT scan shows residual hematoma in the orbital cavity; no retained foreign bodies or intracranial hemorrhaging.,7,18
18,Lateral plain radiograph showed inferior screws pullout and anterior displacement of the plate.,29,13
19,Measurement of medial femoral osteophyte size and medial tibial osteophyte size on a standing anteroposterior radiograph of the knee. Osteophyte size was defined as the largest perpendicular distance from the cortical line to the outer margin of an osteophyte.,32,39
20,"Satisfactory femoral neutral alignment was achieved if three points of bony apposition (arrows) were obtained at the calcar proximally, on the lateral endosteal surface in the middle, and at the medial endosteal surface with the tip of the stem distally as shown in the figure",47,45
21,CT scan (pretreatment) showing lymph nodes.,73,6
22,Airway (black line) to soft palate (white line) ratio method of assessing adenoid enlargement on lateral neck radiography as described by Cohen and Konak,50,24
23,"Case 2, tibial fracture.",6,4
24,"After stent placement, angiogram showed good dilatation of the common iliac artery.",10,12
25,Endoscopic ultrasound findings. An approximately 1×1-cm heterogeneous hypoechoic tumor with well-demarcated border (arrows) was found on the submucosal layer.,3,19
26,Lower second molar mesial angular periodontal defect.,24,7
27,"Axial apparent diffusion coefficient map shows focal low signal intensity nodule (arrow) at right peripheral zone, which was graded 5.",8,20
28,Intraoral periapical view at 1 month showing resolution of cystic defect,1,11
29,Coronal view. Penetrating object caudal to the bladder. 1 bladder. 2 spine. 3 penetrating object.,13,15
30,"CT scan of thorax in a patient with IPF showing typical basal, sub-pleural, honeycomb shadowing and traction bronchiectasis.",3,18
31,It shows the OPG with deformities in the mandible and partial anodontia.,43,12
32,Post-operative (1.5 year) sagittal T1-weighted MRI with gadolinium contrast,1,9
33,Steering and positioning of the MitraClip delivery system in the left atrium. The Clip Delivery System (CDS) is advanced until its tip is even with the guide tip under fluoroscopic guidance. The CDS is further advanced until the guide radiopaque tip ring marker is centred between the sleeve alignment markers with confirmation on fluoroscopy (straddling),2,55
34,Axial contrast enhanced CT images on the level of lower supernumerary kidneys with marked rotation anomaly,8,16
35,Vessel is straightened with two floppy guidewires and a balloon delivery system,74,12
36,"Post void TAU image of the cervix with the empty bladder alleviates the artifactual lengthening of the cervix, and it has a normal curved appearance with a cervical length measurement of 41.3 mm.",1,33
37,"Anteroposterior radiograph of the left thigh showing a proximal third diaphyseal lesion of the left femur. Note the aggressive features represented by the ill-defined margins with a wide zone of transition, cortical erosion and circumferential onion skin appearance denoting moderately aggressive periosteal reaction.",11,43
38,AP chest radiograph showing extensive bilateral reticular-fibrotic pattern with honeycombing and a 2.17 cm nodule in right upper lobe of his lungs.,15,22
39,MRI neck showing swelling and hyper intense signal in right half of tongue (arrow).,5,14
40,"Pelvic computed tomography. A 5.1 × 4 cm-sized, well-defined solid mass with multiple calcifications and fat density is noted in right adnexa (arrow).",7,23
41,Axial CT image. Axial CT image at T10 indicating the atrophy of vertebral bodies and invasion of the hemangioma.,151,19
42,Lateral right ankle radiograph with evidence of calcified loose bodies (arrow) posterior to the talotibial joint. Small loose bodies are also seen anteriorly to the joint (arrow head).,3,28
43,BF TEM images of the nylon-12 (a) 300 nm rod and (b) 65 nm rod.,21,15
44,"Example of the regions of interest manually placed to validate the analyses, evaluating the influence of the stroke lesion location/hemisphere in the outcome of the results.",13,26
45,"Three-year-old girl with bilateral ulnar deficiencies and a left hypoplastic thumb with a bifid metacarpal (Courtesy of Shriners Hospital for Children, Philadelphia).",6,22
46,Magnetic resonance imaging pictures well-defined sellar-suprasellar heterogenous lesion and mildly hyperintense on T1-weighted (T1W) images and brightly hyperintense on T2-weighted (T2W) images suggestive of Rathke's cyst,17,26
47,"Chest CT scan shows culminal cavity partially filled, with thickened wall.",15,11
48,Anteroposterior radiograph demonstrating the ‘fleck’ sign (arrow) of the lateral malleolus due to acute peroneal tendon dislocation. Marked soft-tissue swelling is also seen here.,2,24
49,T2FatSat; pathologic valve/stenosis in the junction of the left IJV with brachiocephalic vein.,243,13
50,Postoperative radiographs of the total knee replacement at 8 months showing the severe heterotopic ossification.,2,15
51,"CT showing large D1 polyp intussuscepting into D2 (arrowhead), but no obvious CT scan characteristics of a lipoma.",100,18
52,MR Image through common femoral region showing an inhomogenous predominantly low T1 signal mass in the region of the common femoral artery.,19,22
53,"MRI Brain with contrast (axial view) - Homogenous enhancement of the lesion based on the lateral superior sagittal sinus wall at junction of anterior and middle third, and on adjacent falx",4,31
54,"Fluoroscopic images with injection of contrast media. The contrast medium is spread around the anchor (arrowhead). However, no contrast medium is noted in the intrathecal space. The broken intrathecal fragment is shown as a U-shaped loop (arrow).",151,37
55,"Computed tomography of chest showing largest pulmonary metastatic nodule of size 10 × 6 cm in right middle and lower lobes invading adjacent mediastinum, mediastinal pleura, pericardium, and right pulmonary vein and bronchus.",7,33
56,"Simple computed tomography scan showing massive right pleural effusion, right pulmonary atelectasis, small left pleural effusion, and adenopathy near the great vessels (arrow)",2,23
57,Arrowhead indicates the IVDH area. Fiber tractography showed short fiber trajectories around only two seed ROIs (arrows) and loss of continuity among fiber trajectories.,34,24
58,CT scan of brain showing infarct in left capsuloganglionic region (arrow),1,11
59,Thoracic computed tomographic scan showing a lesion suggestive of tuberculosis in the right apex and diffuse micronodular involvement.,5,18
60,Vegetation. Four-chamber steady-state free precession (SSFP) image in a patient with septic shock and infective endocarditis shows a linear vegetation (arrow) attached to the septal leaflet of the tricuspid valve,1,30
61,A 15-year-old girl with ruptured appendicitis and 12 French pigtail catheter placement: The abscess was later shown to decrease in size and the patient had resolution of her fevers and elevated white count.,28,33
62,Physical examination of delivery system after 3 h.,1,8
63,Left coronary arteriogram in the right anterior oblique projection shows a partial segmental narrowing of the proximal left anterior descending artery (arrow).,17,22
64,Computerised tomographic scan chest showing tumour,21,6
65,CT scan of the left lower extremity. The arrow illustrates extensive gas within the soft tissues of the left lower extremity.,6,21
66,"Transabdominal ultrasound in a 16-year-old adolescent.Notes: A hemorrhagic cyst consistent with a corpus luteum cyst diagnosed on transabdominal ultrasound in a 16-year-old adolescent who presented with acute abdominal pain. A hypoechogenic cyst with an echogenic structure representing the blood clot is observed. In addition, the delicate “cobweb” is seen.",23,49
67,"CT angiogram of the left leg, transverse section, shows popliteal pseudoaneurysm (asterisk) adjacent to the popliteal artery (arrow).",3,18
68,"Determination of acetabular cup inclination and anteversion using computer software (computer-assisted measurement of total hip arthroplasty, Japan Medical Material, Osaka, Japan). The white arrow shows tear drop line.",2,28
69,Patient 1 cholangiogram. Mild anastomotic narrowing proximal to the anastomosis is seen. The donor duct is dilated and irregular in contour. It appears to contain filling defects which retrospectively are related to presence of biliary cast material in the right and left main hepatic ducts.,11,45
70,Regenerated superficial radial nerve in high-frequency ultrasound at three postoperative months.,1,11
71,Follow up CT abdomen showing resolution of the bile collection.,38,10
72,"Computed tomography (CT) scan of the chest.The arrow in the scan shows a soft tissue mass that encases and compresses the superior vena cava and right posterior trachea originating from the right lung apex. The tracheal diameter is overall enlarged. Bilateral hilar lymphadenopathy is also evident, but appreciated more on the right side.",65,53
73,Post-operative radiograph with bilateral plate osteosynthesis.,31,6
74,Pretreatment panoramic view,11,3
75,"Abdominal computed tomography scan showed a filling defect in the splenic vein (arrow), indicating thrombosis formation.",68,16
76,"Lateral X-ray of the skull, showing a large, ill-defined, well-demarcated, expansile, multiloculated osteolytic lesion in the occipital bone.",1,18
77,"Computed tomography image obtained at the first examination. A well-circumscribed oval lesion, approximately 19 × 14 × 12 mm in size, was found inferior to the left nasal alar base. A small high-density area was observed adjacent to the right piriform aperture",1,42
78,"CT scan of his lungs, showing a large central space occupying lesion surrounding both main bronchi.",8,16
79,Follow-up radiograph (anteroposterior view) showing union of both the fractures,1,10
